Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Light emitting diode,LED,D1 D2,LED,LED_D5.0mm,2, ,~
2,"Generic connector, single row, 01x19, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x19_Female,J14,Conn_01x19_Female,PinSocket_1x19_P2.54mm_Vertical,1, ,~
3,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13,INPUT,Jack_3.5mm_WQP-PJ398SM_Vertical,13, ,~
4,Resistor,R,R1 R2,56,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2, ,~
