Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
31,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R11 R12 R19 R20 R21 R22 R29 R30 R40 R41 R42 R45,47k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,12, ,~
32,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R13 R50,68k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2, ,~
33,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R5 R36,82k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2, ,~
34,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R6,91k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~
35,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R7 R44,130k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2, ,~
36,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R4,470k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~
37,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R9 R27,510k,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2, ,~
38,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R28,560k,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1, ,~
39,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R39,620k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1, ,~
40,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R10,680k,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1, ,~
41,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R17,820k,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1, ,~
42,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R18,910k,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1, ,~
43,"Dual Operational Amplifiers, DIP-8/SOIC-8/TSSOP-8/VSSOP-8",LF353,U1 U2 U3 U4 U5 U6 U7 U8 U9 U10,LF353,DIP-8_W7.62mm_Socket,10, ,https://www.ti.com/lit/ds/symlink/lf353-n.pdf
